what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1330058832540
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1330058832544
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1330058832545
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1330058832547
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1330058832548
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1330058832550
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1330058832551
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1330058832553
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1330058832558
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1330058832559
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1330058832562
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1330058832564
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1330058832567
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1330058832571
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1330058832574
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1330058832575
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1330058832575
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1330058832578
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1330058832580
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1330058832582
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1330058832585
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1330058832589
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1330058832592
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1330058832594
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1330058832596
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1330058832597
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1330058832599
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1330058832602
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1330058832604
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1330058832604
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1330058832606
os,sysinfo,,,"win32",1330058832610
arch,sysinfo,,,"x86",1330058832610
ws,sysinfo,,,"win32",1330058832610
locale,sysinfo,,,"zh_CN",1330058832610
processors,sysinfo,,,"8",1330058832610
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1330058832610
java.runtime.version,sysinfo,,,"1.5.0_12-b04",1330058832610
java.specification.name,sysinfo,,,"Java Platform API Specification",1330058832610
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330058832610
java.specification.version,sysinfo,,,"1.5",1330058832610
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1330058832610
java.version,sysinfo,,,"1.5.0_12",1330058832610
java.vm.info,sysinfo,,,"mixed mode",1330058832610
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1330058832610
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1330058832610
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330058832610
java.vm.specification.version,sysinfo,,,"1.0",1330058832610
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1330058832610
java.vm.version,sysinfo,,,"1.5.0_12-b04",1330058832610
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059030599
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.200.v201103311536,"org.eclipse.wst.common.project.facet.ui",1330059039593
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1330059039638
started,bundle,org.eclipse.wst.common.modulecore,1.2.100.v201105191800,"org.eclipse.wst.common.modulecore",1330059039641
started,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1330059039641
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1330059039682
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.300.v201011231608,"org.eclipse.jst.ws.jaxrs.core",1330059039689
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1330059039738
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1330059039784
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1330059039803
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1330059039825
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1330059041610
started,bundle,org.eclipse.jst.j2ee.core,1.2.100.v201105122000,"org.eclipse.jst.j2ee.core",1330059062775
started,bundle,org.eclipse.jem,2.0.500.v201104271400,"org.eclipse.jem",1330059062789
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1330059062831
started,bundle,org.eclipse.wst.validation,1.2.300.v201104190230,"org.eclipse.wst.validation",1330059062998
started,bundle,org.eclipse.jst.j2ee,1.1.500.v201105122000,"org.eclipse.jst.j2ee",1330059063039
started,bundle,org.eclipse.wst.jsdt.core,1.1.100.v201104272153,"org.eclipse.wst.jsdt.core",1330059064060
started,bundle,org.eclipse.jst.servlet.ui,1.1.500.v201105122000,"org.eclipse.jst.servlet.ui",1330059064116
started,bundle,org.eclipse.jst.common.frameworks,1.1.500.v201104081500,"org.eclipse.jst.common.frameworks",1330059064137
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1330059064886
started,bundle,org.eclipse.wst.jsdt.ui,1.1.100.v201105041953,"org.eclipse.wst.jsdt.ui",1330059064886
started,bundle,org.eclipse.jst.jee.ui,1.0.400.v201105122000,"org.eclipse.jst.jee.ui",1330059064900
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.500.v201012020700,"org.eclipse.jst.j2ee.navigator.ui",1330059064920
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059073418
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1330059076750
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1330059076757
activated,perspective,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui.webDevPerspective",1330059076770
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1330059076779
started,bundle,org.eclipse.jpt.common.core,1.0.0.v201105180000,"org.eclipse.jpt.common.core",1330059076959
started,bundle,org.eclipse.jpt.jpa.core,3.0.0.v201105250001,"org.eclipse.jpt.jpa.core",1330059076962
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1330059077117
started,bundle,org.eclipse.wst.dtd.core,1.1.500.v201103300335,"org.eclipse.wst.dtd.core",1330059077920
started,bundle,org.eclipse.wst.sse.ui,1.3.0.v201105101529,"org.eclipse.wst.sse.ui",1330059077934
started,bundle,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.ui",1330059077935
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1330059077936
started,bundle,org.eclipse.wst.wsi.ui,1.0.502.v201104071820,"org.eclipse.wst.wsi.ui",1330059077962
started,bundle,org.eclipse.jst.jsp.core,1.2.400.v201105162116,"org.eclipse.jst.jsp.core",1330059077994
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1330059078088
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1330059078095
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1330059078108
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1330059079219
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1330059079241
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1330059082010
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1330059082015
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1330059095690
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1330059095693
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1330059095712
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1330059095714
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1330059095819
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1330059095823
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059106955
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1330059109560
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1330059120073
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059123834
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1330059123842
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1330059128260
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059133877
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059139018
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059142530
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059144897
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059148931
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059151646
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059156676
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059165646
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059167568
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059168247
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330059168248
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059168268
started,bundle,org.eclipse.wst.html.core,1.1.500.v201104191551,"org.eclipse.wst.html.core",1330059168854
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059173253
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059174758
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059174778
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330059174780
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059175028
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059179447
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059182169
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059184347
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330059186550
started,bundle,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui",1330059193270
started,bundle,org.eclipse.wst.css.core,1.1.500.v201104191926,"org.eclipse.wst.css.core",1330059193492
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1330059193499
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.400.v201103080228,"org.eclipse.wst.jsdt.web.ui",1330059193619
started,bundle,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.ui",1330059193625
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1330059193659
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.400.v201104190230,"org.eclipse.wst.jsdt.web.core",1330059193685
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059194296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059213924
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1330059214144
opened,editor,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.core.htmlsource.source",1330059214389
activated,editor,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.core.htmlsource.source",1330059214740
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1330059216086
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1330059218811
started,bundle,org.eclipse.jst.jsf.core,1.3.5.v201105031140,"org.eclipse.jst.jsf.core",1330059218814
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1330059218816
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1330059218825
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1330059219052
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059224973
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059384524
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059391629
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059395447
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330059398326
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1330059402842
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1330059403073
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330059404204
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1330059407495
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330059428520
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059432708
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059489066
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059492487
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059613996
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1330059616403
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330059617466
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1330059620640
executed,command,org.eclipse.wst.sse.ui,1.3.0.v201105101529,"org.eclipse.wst.sse.ui.format.document",1330059622777
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330059623862
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059625732
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059695233
started,bundle,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.ui",1330059697061
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1330059728545
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1330059742213
activated,editor,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.core.htmlsource.source",1330059746667
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330059755949
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330059758775
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1330059759483
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1330059759506
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1330059762156
executed,command,,,"AUTOGEN:::org.eclipse.wst.html.core.htmlsource.ruler.actions/org.eclipse.ui.texteditor.SelectRulerAction",1330059762193
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059771577
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059772371
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059772720
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059773669
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059774304
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059853350
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059859276
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059882320
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059883868
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330059948801
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330059958250
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1330059962158
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1330059963738
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1330059964804
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1330059967742
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1330059968709
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330059976122
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1330059987791
closed,editor,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.core.htmlsource.source",1330059987791
opened,editor,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.core.htmlsource.source",1330059990501
activated,editor,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.core.htmlsource.source",1330059990559
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1330060000373
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1330060002269
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1330060005007
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330060006311
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330060017452
